profile,side,iteration,shoulder_number_of_velocity_peaks,elbow_number_of_velocity_peaks,wrist_number_of_velocity_peaks,shoulder_ratio_mean_peak_velocity,elbow_ratio_mean_peak_velocity,wrist_ratio_mean_peak_velocity,shoulder_mean_velocity,elbow_mean_velocity,wrist_mean_velocity,shoulder_peak_velocity,elbow_peak_velocity,wrist_peak_velocity,shoulder_sparc,elbow_sparc,wrist_sparc,shoulder_jerk,elbow_jerk,wrist_jerk,shoulder_movement_time,elbow_movement_time,wrist_movement_time,shoulder_percentage_time_to_peak_velocity,elbow_percentage_time_to_peak_velocity,wrist_percentage_time_to_peak_velocity,trunk_rom,shoulder_rom,elbow_rom,target_error_distance,hand_path_ratio
2,0,13,6,7,8,0.447862849,0.321808038,0.174423158,2.511814306,1.349477966,0.006790711,5.608445337,4.193425298,0.038932394,-2.713498116,-3.107268674,-4.278313811,-15.45804771,-14.59699311,-15.5713764,1.987532616,1.987532616,1.987532616,34.48811201,13.64426444,9.105089107,0.375741485,2.224606584,1.276727385,0.004243585,1.414213562
2,0,14,6,6,6,0.217485452,0.227647871,0.294650758,2.483994161,2.108846123,0.026796361,11.42142674,9.263632095,0.090942786,-3.901513333,-3.878939171,-3.589612676,-15.42146305,-14.62510232,-13.4998665,1.963116646,1.963116646,1.963116646,100,100,97.49802888,0.493169608,1.329318141,1.909968718,0.014554063,2.868814966
2,0,15,5,6,8,0.465882437,0.451801759,0.380864691,3.509761767,2.79029448,0.022649541,7.533578188,6.175926548,0.059468733,-3.021936702,-3.485088601,-2.883231004,-14.76974484,-13.57962184,-14.04793536,1.945380449,1.945380449,1.945380449,50.03096384,14.31764895,61.92960931,0.258834727,3.02113172,1.18425945,0.026559766,5.471404521
3,0,1,8,7,7,0.228136982,0.371920606,0.342668671,3.214824019,6.183230722,0.082913655,14.09163908,16.62513618,0.241964503,-3.15445948,-3.492937019,-3.189631282,-14.14661299,-13.64616291,-12.68813297,1.936649084,1.936649084,1.936649084,27.01712875,94.9890033,94.9890033,0.393970202,2.806973565,5.100749963,0.033329658,2.51904452
3,0,2,14,15,13,0.272711071,0.219110691,0.335992554,3.106704808,5.658053104,0.087732479,11.39192771,25.82280707,0.261114355,-3.893320982,-3.387355684,-3.006854755,-17.75179166,-16.19797186,-15.43158989,4.011275053,4.011275053,4.011275053,50.12053548,51.27840596,51.27840596,0.920222638,3.850266223,9.723674917,0.03620235,72.38966124
3,0,3,7,6,6,0.430983864,0.551078413,0.389307444,3.641481542,6.257322195,0.064742355,8.449229416,11.35468574,0.166301353,-2.571849186,-2.238033082,-2.614267909,-15.29957323,-13.2811746,-12.72632143,1.950531483,1.950531483,1.950531483,35.83679598,83.47795082,49.91969317,0.513504649,4.081327591,9.950795873,0.03393905,1.801449136
3,0,4,13,10,14,0.235414089,0.293515734,0.205280436,2.007468763,3.798304379,0.074363726,8.527394308,12.94071812,0.362254329,-4.280175649,-3.251234782,-2.829541142,-17.4275845,-16.22165362,-15.46788189,3.837273598,3.837273598,3.837273598,56.41457444,20.51166931,19.31899039,0.505336636,1.932014753,5.929822648,0.031277027,9.095081522
3,0,5,6,5,6,0.413272033,0.387420742,0.376591281,3.537045041,7.10471688,0.095421294,8.558636334,18.33850414,0.253381579,-2.540890472,-2.174549201,-2.213905734,-15.39479404,-12.96496086,-12.43185898,1.976407528,1.976407528,1.976407528,97.66189276,58.91394261,58.91394261,0.50770041,2.591219116,5.454339248,0.030861047,8.619277087
3,0,6,12,10,9,0.202541393,0.300238348,0.316903427,3.701140565,5.883066606,0.083650794,18.27350208,19.59465422,0.263963047,-3.166113198,-3.732228935,-3.953316988,-17.3377762,-15.77508083,-15.08451149,3.485883951,3.485883951,3.485883951,29.99027348,12.7360797,6.865616701,0.503292599,4.381048221,7.757783858,0.035314412,12.5437593
3,0,7,16,14,13,0.218957119,0.355798467,0.436596756,3.942596768,7.173697019,0.089950334,18.00625064,20.16224828,0.206026117,-3.397677343,-3.253733088,-3.178325774,-17.93627384,-16.80949886,-15.83546936,4.437973976,4.437973976,4.437973976,11.60272592,10.56951001,62.76765302,0.88063281,4.037835841,6.828877138,0.02984905,10.09275539
3,0,8,7,6,5,0.302020549,0.441157258,0.427277289,4.129152197,6.768231991,0.094741322,13.67175914,15.34199397,0.221732641,-2.950210571,-2.54892739,-3.060710662,-15.08029597,-13.10431842,-12.42783635,1.956782103,1.956782103,1.956782103,23.74083732,4.78374294,4.78374294,0.747293877,4.146735332,6.381314999,0.038837077,4.495272941
3,0,9,6,6,7,0.291708052,0.357074861,0.364306169,4.797517343,4.793947018,0.064647048,16.44629729,13.42560776,0.177452521,-2.416067425,-4.148103265,-4.095590695,-13.7565094,-12.64367457,-12.90977924,1.970542431,1.970542431,1.970542431,66.9765255,4.679122484,29.01569669,0.74338057,3.639557624,5.044792185,0.036520067,2.414471378
3,0,10,14,13,11,0.244258328,0.274767644,0.271694453,3.144506339,7.174224751,0.098363579,12.87369139,26.11015128,0.362037495,-3.088420232,-2.552253157,-2.715604949,-16.96276712,-16.45433195,-15.91872919,4.171198368,4.171198368,4.171198368,50.93687587,29.86830043,40.96636612,0.868943911,3.471114833,9.62198427,0.034143282,16.46094455
3,0,11,15,15,14,0.290801354,0.230813704,0.208053807,4.392853316,7.052692078,0.109900005,15.10602771,30.55577707,0.528228762,-3.927488315,-3.114159852,-2.792413354,-17.51108003,-17.21806837,-16.12169478,4.767492294,4.767492294,4.767492294,20.06637024,20.06637024,39.52643868,0.874353022,4.898584633,9.698574408,0.032150874,8.782549727
3,0,12,15,9,10,0.12753824,0.278349108,0.250459398,6.553127886,9.884387032,0.114803622,51.38167083,35.51075522,0.458372186,-2.578073478,-3.652716863,-3.254631903,-16.54238757,-16.28499705,-15.46035761,3.764244556,3.764244556,3.764244556,60.59241901,60.59241901,33.42973753,0.618279709,7.269733071,11.94283674,0.038670027,46.10840121
3,0,13,15,14,16,0.208280619,0.154984357,0.149176507,6.928391331,8.710377753,0.1017423,33.26469532,56.20165763,0.682026291,-3.08767227,-3.11778797,-3.180579719,-18.61969689,-16.7687295,-16.88963031,4.64682889,4.64682889,4.64682889,38.85871335,38.85871335,38.85871335,0.501298762,10.01133537,11.39214951,0.038800842,38.7049731
3,0,14,7,7,6,0.441943828,0.341222635,0.330046051,7.103165928,8.771918305,0.100490297,16.07255374,25.70731658,0.304473563,-3.617325274,-3.000737307,-2.912544343,-14.85340053,-12.91132265,-12.92631474,1.961231709,1.961231709,1.961231709,24.36515333,24.36515333,24.36515333,0.378501802,5.325495098,5.374625911,0.022084602,74.31017815
3,0,15,13,14,13,0.276027608,0.171294162,0.173301709,3.663521802,4.609124008,0.054156835,13.27230211,26.90765379,0.312500294,-3.582813441,-2.498599197,-2.647703095,-17.61440581,-15.75004836,-15.89563833,3.869925976,3.869925976,3.869925976,26.48162115,22.82987813,24.03915783,1.043676214,8.115038506,7.717593812,0.052873654,6.453752274
4,0,1,13,12,12,0.255474307,0.136511883,0.190377289,2.788707089,7.263878857,0.11633513,10.91580252,53.21059745,0.611076725,-4.013689207,-3.003064925,-2.853200824,-17.05714182,-16.56340894,-15.99645138,4.035532475,4.035532475,4.035532475,2.370223765,24.18378554,24.18378554,1.311372201,5.597163465,10.16331265,0.038026802,11.13240959
4,0,2,6,5,4,0.548734255,0.503895091,0.405955825,2.46251139,6.782170752,0.103952788,4.487621048,13.45948962,0.256069212,-2.372549706,-3.268767682,-3.62888925,-13.96736007,-12.62135045,-12.79104512,1.943531036,1.943531036,1.943531036,57.01484097,11.58022317,88.18955661,0.387853509,1.657614034,4.934370123,0.055273574,2.312255481
4,0,3,21,17,18,0.307844777,0.193296825,0.244329478,2.031907537,4.139504816,0.07749954,6.600428806,21.41527579,0.317192756,-3.547299547,-4.054646743,-3.561369078,-18.05911903,-17.59769898,-17.19932094,5.757850409,5.757850409,5.757850409,30.41922471,1.600096066,1.600096066,1.68477355,1.998555979,7.051593134,0.049147517,49.07969767
4,0,4,6,7,6,0.54374856,0.388720159,0.278331844,2.499595506,2.194971583,0.062689572,4.596969429,5.646662603,0.225233203,-2.30316323,-2.321882143,-2.652378014,-13.97707611,-13.51098267,-13.35505436,1.964781284,1.964781284,1.964781284,40.34719551,56.80461698,4.70133687,0.974135611,2.940444115,2.261769911,0.028807685,2.816927639
4,0,5,14,10,8,0.371009585,0.287059147,0.34899023,2.746798687,3.808657833,0.069026574,7.403578765,13.26785045,0.197789416,-3.986284517,-2.857580435,-2.948777936,-16.19600888,-16.46506554,-15.43082023,3.759037256,3.759037256,3.759037256,11.06044476,14.75893419,16.0318827,1.183040181,3.621962714,6.452607001,0.039991891,4.698454886
